raceId,totalDNFs,circuitId,countryId,rain,topTenDiversity,driverExpWeightedSum,pitsWeightedSum,preRaceALPCWeightedSum,TCCAPE,clusterMeanWeightedSum,gapWeightedSum
817,6.0,marina-bay,singapore,light,7.0,-0.1526952872113641,0.9305744367355206,-0.0209753905263161,243.75,-1.6152593401052635,-0.094596080544614
818,2.0,suzuka,japan,none,8.0,-0.1848609534847823,0.7024113104660382,-0.0296604802958371,263.25,-2.148046198280014,-0.0580816499326964
819,6.0,interlagos,brazil,heavy,9.0,-0.2076581694941593,0.931148927749565,-0.0039164378947369,282.75,-2.4555861024736845,-0.0541012204963424
820,2.0,yas-marina,united-arab-emirates,none,7.0,-0.2398238357675776,0.987657934557802,-0.0148773933684208,302.25,-1.3942226218421054,-0.0648199974092817
821,7.0,bahrain,bahrain,none,6.0,0.31955078645773,0.7774105462421539,-0.0032155816403157,0.0,-0.5055693489690383,-0.1146018813012186
822,9.0,melbourne,australia,moderate,7.0,0.2876372652603097,0.906359408107233,-0.0046970223809524,50.5,-0.3397255897939017,-0.0777786522914684
823,5.0,sepang,malaysia,light,6.0,0.2557237440628894,0.7675239539888166,-0.011707289,101.0,-0.5543370360559006,-0.0648729834371228
824,6.0,shanghai,china,moderate,6.0,0.2238102228654691,1.1263955634944292,0.0026140178787881,151.5,-0.5918907073461321,-0.0758407100945114
825,4.0,catalunya,spain,light,6.0,0.1918967016680487,-0.1376821246071581,-0.0056510197142858,202.0,-0.4581737381298701,-0.0319751707161082
826,9.0,monaco,monaco,light,7.0,0.1599831804706284,0.0022501284107763,0.0103346657608697,252.5,-0.621451759486166,-0.072324409355128
827,4.0,istanbul,turkey,none,6.0,0.128069659273208,0.0481750579592234,0.0038957123418974,303.0,-0.4272430726844532,-0.0794788033349313
828,5.0,montreal,canada,none,6.0,0.0961561380757877,0.2415099468350319,0.0051480213043472,353.5,-1.3532057601449277,-0.099308098880505
829,3.0,valencia,spain,none,5.0,0.0642426168783674,0.0359776935429832,0.0007600681314699,404.0,-0.9195460363791644,-0.0873142205803929
830,4.0,silverstone,united-kingdom,light,7.0,0.0674626430296474,0.1517756172061271,-0.0077288966059665,454.5,-0.7005957065189159,-0.0498468238469132
831,5.0,hockenheimring,germany,none,6.0,0.0368984295671411,0.1506130072876255,-0.0035177394664029,505.0,-0.7978686057773388,-0.0709325962823679
