raceId,circuitId,countryId,rain
941,monaco,monaco,heavy
942,montreal,canada,light
943,baku,azerbaijan,none
944,spielberg,austria,light
945,silverstone,united-kingdom,light
946,hungaroring,hungary,light
947,hockenheimring,germany,light
948,spa-francorchamps,belgium,light
949,monza,italy,none
950,marina-bay,singapore,heavy
951,sepang,malaysia,none
952,suzuka,japan,light
953,austin,united-states-of-america,none
954,mexico-city,mexico,none
955,interlagos,brazil,heavy
956,yas-marina,united-arab-emirates,none
957,melbourne,australia,none
958,shanghai,china,heavy
959,bahrain,bahrain,none
960,sochi,russia,none
961,catalunya,spain,light
962,monaco,monaco,none
963,montreal,canada,light
964,baku,azerbaijan,none
965,spielberg,austria,light
966,silverstone,united-kingdom,light
967,hungaroring,hungary,none
968,spa-francorchamps,belgium,light
969,monza,italy,none
970,marina-bay,singapore,heavy
971,sepang,malaysia,heavy
972,suzuka,japan,moderate
973,austin,united-states-of-america,heavy
974,mexico-city,mexico,light
975,interlagos,brazil,none
976,yas-marina,united-arab-emirates,none
977,melbourne,australia,moderate
978,bahrain,bahrain,none
979,shanghai,china,none
980,baku,azerbaijan,light
981,catalunya,spain,heavy
982,monaco,monaco,light
983,montreal,canada,none
984,paul-ricard,france,none
985,spielberg,austria,none
986,silverstone,united-kingdom,none
987,hockenheimring,germany,light
988,hungaroring,hungary,none
989,spa-francorchamps,belgium,moderate
990,monza,italy,light
991,marina-bay,singapore,light
992,sochi,russia,none
993,suzuka,japan,none
994,austin,united-states-of-america,none
995,mexico-city,mexico,light
996,interlagos,brazil,light
997,yas-marina,united-arab-emirates,light
998,melbourne,australia,none
999,bahrain,bahrain,none
1000,shanghai,china,none
1001,baku,azerbaijan,none
1002,catalunya,spain,none
1003,monaco,monaco,light
1004,montreal,canada,none
1005,paul-ricard,france,none
1006,spielberg,austria,none
1007,silverstone,united-kingdom,light
1008,hockenheimring,germany,heavy
1009,hungaroring,hungary,light
1010,spa-francorchamps,belgium,light
1011,monza,italy,heavy
1012,marina-bay,singapore,none
1013,sochi,russia,light
1014,suzuka,japan,moderate
1015,mexico-city,mexico,heavy
1016,austin,united-states-of-america,none
1017,interlagos,brazil,none
1018,yas-marina,united-arab-emirates,none
1019,spielberg,austria,none
1020,spielberg,austria,none
1021,hungaroring,hungary,moderate
1022,silverstone,united-kingdom,light
1023,silverstone,united-kingdom,none
1024,catalunya,spain,moderate
1025,spa-francorchamps,belgium,heavy
1026,monza,italy,heavy
1027,mugello,italy,none
1028,sochi,russia,none
1029,nurburgring,germany,light
1030,portimao,portugal,moderate
1031,imola,italy,none
1032,istanbul,turkey,light
1033,bahrain,bahrain,light
1034,bahrain,bahrain,none
1035,yas-marina,united-arab-emirates,none
1036,bahrain,bahrain,none
1037,imola,italy,light
1038,portimao,portugal,none
1039,catalunya,spain,moderate
1040,monaco,monaco,none
1041,baku,azerbaijan,none
1042,paul-ricard,france,light
1043,spielberg,austria,moderate
1044,spielberg,austria,moderate
1045,silverstone,united-kingdom,none
1046,hungaroring,hungary,light
1047,spa-francorchamps,belgium,heavy
1048,zandvoort,netherlands,none
1049,monza,italy,none
1050,sochi,russia,light
1051,istanbul,turkey,light
1052,austin,united-states-of-america,light
1053,mexico-city,mexico,none
1054,interlagos,brazil,none
1055,lusail,qatar,none
1056,jeddah,saudi-arabia,none
